|text|tensor|score
17|"Внимание! Если книга перевернет всю вашу жизнь, не говорите, что вас не предупреждали!  Эта фраза привлекла меня, и я купила эту книгу, отправляясь в отпуск. Нельзя конечно утверждать, что отпуск был испорчен, но наверное что-то вроде этого. Непонятно ЧТО хотел сказать автор этой книгой. Наверное он является скрытым садо-мазохистом, который пытается оправдать свои комплексы, осуждая героев книги занимающихся этим...безобразием. ""Эротические"", если так можно сказать, сцены, это описания жестокости, насилия, морального и физического унижения. Ничего философского, способного ""перевернуть жизнь"" нет и впомине. Есть лишь мерзкое ощущение того, что эту гадость печатают и продают..."|[ -9.10606   -8.752692  -9.580708 ... -10.635637 -10.645555 -10.640918]|1
18|Крайне высокопарная и поверхностая имитация глубокой мудрости. Явно предполагается глубокая наивность читателя и его поверхностная культурность - все мудрое должно быть загадочным, возвышенным, символическим и т.д. На общем уровне литературы нашего времени - произведение совершенно детское. Но оно не детское - это хитрая конъюнктурщина для простаков.|"[-10.069988   -6.8935266  -8.538991  ...  -9.940458   -9.954499
  -9.947885 ]"|1
19|Необычайная пошлость. Мне стыдно, что Лукьяненко гражданин России|[-6.533656  -6.046714  -6.4038296 ... -7.5798945 -7.5854664 -7.582875 ]|1
20|Просто мерзко, у автора явно не в порядке с головой.|"[ -8.342589  -10.167298   -8.4427805 ... -11.489797  -11.511055
 -11.501065 ]"|1
21|Не стоит тратить время. Тоже мне открыл Америку: телевизор нас зомбирует, а то мы этого не знаем. Притом настолько сыро, небрежно, без элементарного уважения к читателю. Да плюс еще и на двухтомнике в два раза больше бабла попытался срубить. Отстойный отстой! Продолжение то следует, только я его читать не буду.|[ -9.377591  -8.738694  -8.547377 ... -10.328778 -10.339374 -10.334388]|1
22|Сексо-нарко-гомо-грязноязыкая гыдота из жизни пАдонков. Читать пАдонкам|[-6.2646346 -5.863338  -6.293974  ... -7.3523965 -7.35112   -7.3517323]|1
23|как вариант действий.|[ -8.401184 -10.839601  -8.571985 ...  -9.847521  -9.858078  -9.85311 ]|1
24|Омерзительное произведение, причем абсолютно антинаучное. Верный путь человечества назад к каменному веку.|[-10.49924   -8.659357  -8.23091  ... -10.30321  -10.316464 -10.310209]|1
25|"Хотелось почитать про будни журналистов. Как можно было загубить такую богатую на идеи тему?! Фактическое отсутствие сюжета, вся книга - какая-то дурацкая суматоха, приправленная натужными попытками пошутить. Категорически ""невтемные"" пейзажи, полнейшая картонность героев, прорисовка характеров которых заключается разве что в начальном описании длиною в абзац, невероятно бездарные диалоги, неизменно начинающиеся с ""Привет"" и неизменно заканчивающимися при помощи ""Пока"". Тьфу восемьдесят раз. Невероятно жалко и потраченных денег, и потраченного времени. Предлагаю устроить ритуальное сожжение всего тиража."|[-7.98683   -7.7312865 -6.618279  ... -8.1121435 -8.109437  -8.1107235]|1
26|Экзистенциальный маразм убогим языком. Диалоги чудовищны, сюжет беспомощен. Не читайте на ночь.|[-10.751779  -7.059994  -7.328714 ...  -8.456073  -8.457189  -8.456633]|1
27|Так любила Платову, но эту книгу даже не дочитала. Ужас!|"[ -8.789329   -6.0152187  -8.607157  ... -10.80822   -10.8243885
 -10.81683  ]"|1
28|Бредовая вещь. Причём, без какой либо системы, просто делятся продукты по цвету. Это в корне неправильно, спросите у любого врача!|[ -7.40466   -9.134232  -8.085105 ... -10.161102 -10.170427 -10.166086]|1
29|Начало заинтересовало. Дочитывала с трудом. Бездарный язык и отсутствие сюжета. Депрессивные завывания героя - имхо нельзя читать.|[-8.054305 -8.09561  -8.28077  ... -9.845311 -9.861663 -9.853961]|1
30|"Терпеть не могу это произведение. У Достоевского - самое ужасное, не понимаю, почему его проходят в школе? Вот ""Идиот"" - это да, это вещь. А читать и жалеть таких людишек, какие описаны в ""ПиН"", я не могу."|[ -8.291404  -8.200131  -9.083567 ... -10.896182 -10.913425 -10.90535 ]|1
31|Начал читать, но не нашел завязки... В итоге не дочитал.|"[-10.29625    -8.946079   -7.1028743 ...  -9.319338   -9.337744
  -9.329011 ]"|1
32|"Язык сложный, после Генри Миллера, Палланика практически ни чего не понятно. По ходу романа становится проще, но дело не спасает. Скучно, не запоминаешь фамилии и персонажи путаются. Нет порядка изложения, хотя мне сказали что автор специльно так придумал. Много слышала хороших отзывов, но с моим мнением совпал только один:""почему столько шуму? концовку еле прочитала..Скучно"""""|"[-10.861318   -9.001733   -9.330398  ... -11.1222515 -11.134429
 -11.128751 ]"|1
33|"Просто пыль..Не оставила никаких эмоций. Да, не отрицаю, что попытки нравоучения были применены. Там, ""наверху"", когда кажется, что достиг все, чувствуешь себя совсем одиноким и потерянным. Но книга не по мне..Я люблю сильные эмоции и красивый сюжет"|[-12.217493 -10.915401 -10.37872  ... -11.836068 -11.852479 -11.844787]|1
34|не понравилось однозначно! Не люблю перебор мистики и фантастики.|[-12.708909 -10.138656  -7.088391 ... -10.90926  -10.925786 -10.918015]|1
35|"Отстой. Я не смог осилить 4 главы. Все эти главы состоят из описания сект и политического устройства (даже не интриг) далёкого будущего: секты на сектах, еретики и пр. муть. Читать эту книгу тяжело и неинтересно. Может фаны этого автора со мной будут и не согласны, но после фразы: ""он один способен уничтожить галактику"" мне стало окончательно ясно, что книга ориентирована на подростков, которым нравятся непобедимые герои и т.п. крайности. P.S. Насколько мне известно, это 3-я книга из серии."|[-9.532549 -8.104565 -8.692173 ... -9.930572 -9.941566 -9.936403]|1
36|В книге есть интересные идеи и мысли, но в целом книга оставила впечатление полного бессвязного бреда. Может дело в переводе, но язык мне совершенно не понравился, с трудом дочитала до конца|[-10.085984  -7.958589  -6.767021 ...  -9.75028   -9.759616  -9.755214]|1
37|А я так и не смогла его дочитать до конца. Нисколько не тронуло.|[ -9.680899 -10.865932  -9.868204 ... -11.202255 -11.22309  -11.213253]|1
38|При чтении книги создалось впечатление, что автор считает своих читатлей полными даунами|[-9.125506 -6.925785 -8.653984 ... -8.81545  -8.818598 -8.817128]|1
39|"Было гадко читать про этого американца. неинтересно, особенно если читать её после ""Всех оттенков голубого"". Не дочитала, бросила и забыла про эту книгу. Читалась тяжело и с принуждением."|[-11.816262  -9.638092  -9.871103 ... -11.595015 -11.613515 -11.604792]|1
40|Бред! Дочитала до конца только потому что в рекомендациях стояла первым номером. Плевалась. Порывалась бросить. Но домучила. Как можно это читать???|[ -9.273532 -10.180531  -9.092817 ... -10.846219 -10.860456 -10.853769]|1
41|Очень не люблю Дарью Донцову. По моему, очень примитивно написано. Но самое страшное в её книгах - это название...|[ -9.484414 -10.227537  -8.490414 ... -10.819206 -10.831107 -10.825531]|1
42|"Бениловское ""альтернативное"" видение советско-российской истории, мягко говоря, меня ОЧЕНЬ НЕ ПОРАДОВАЛО!"|[-6.2877293 -3.891695  -4.710426  ... -6.220743  -6.212892  -6.216568 ]|1
43|Мерзость и пакость! Единственная стоящая мысль: мы думаем, что нам все должны просто потому что мы есть, а заслуги других не важны и принимаются, как само собой разумеющееся. Все - книга прочитана. Не читать!!!! КАК могли за ЭТО дать премию???|"[ -9.502381   -6.7833366  -7.889723  ... -10.222008  -10.229049
 -10.225758 ]"|1
44|Уже читая првый рассказ, почувствовала, что схожу с ума. Следующие два просто заставила себя читать, надеясь найти хоть крупицу смысла. Что за дрянь?! Ни сюжета, ни смылса, ни языка! И садизм какой-то. Отвратительно.|[-7.8711877 -6.197448  -9.767471  ... -9.825076  -9.833687  -9.829666 ]|1
45|глупая книга, автор описывает свои бредовые фантазии.|[ -8.430739 -11.263178  -8.90262  ... -10.26876  -10.28369  -10.27664 ]|1
46|Такой дряни я не читал не то, чтобы давно, а пожалуй что никогда.|[-10.793074 -10.177394 -13.397991 ... -12.9659   -12.981222 -12.974025]|1
47|дерьмо|"[-14.012917   -9.237272  -10.365601  ... -12.650254  -12.669691
 -12.6605015]"|1
48|не стоит читать|"[ -9.256133  -13.172386   -8.0114355 ... -12.086688  -12.121457
 -12.105071 ]"|1
49|Ничего более скучного я не читала. Это просто ужасно.|"[-12.780033   -9.460726  -11.5133705 ... -12.225488  -12.247277
 -12.23703  ]"|1
50|Ничего более бредового, расчитанного на массы, безыскусного в жизни не читала. ширпотреб , отвратителнейшее произведеньице.|[-6.421975  -5.388659  -6.450248  ... -6.1282277 -6.1196504 -6.1236987]|1
51|"У меня язык не повернется назвать ""это"" книгой."|[ -9.20918  -11.3203    -8.627648 ... -12.438882 -12.459657 -12.449902]|1
52|Набор банальностей и глупостей|"[-12.926443   -7.9758606  -9.090818  ...  -9.693614   -9.716543
  -9.705723 ]"|1
53|Философия для недалекого ума.|[-7.8383203 -6.992483  -9.603779  ... -8.998765  -9.012713  -9.006114 ]|1
54|Падение уровня образования порождает такие книги и их читателей.|[-11.43431   -8.281273  -9.331708 ...  -9.217542  -9.235887  -9.227217]|1
55|"Ненавижу книги в стилистике ""шиза для детей и взрослых"". Любители подобной литературы могут обратить свой взор на Паоло Коэльо. Подобно этому."|[-9.852543 -9.92019  -9.644201 ... -9.812463 -9.832512 -9.823087]|1
56|Грустно...|[-12.244696  -8.881115 -12.046314 ... -10.321298 -10.352502 -10.337762]|1
57|На специфического любителя.|[ -9.81403  -10.575476  -9.132553 ...  -9.891876  -9.913095  -9.903093]|1
58|Еле дочитала. Это все плохая привычка - дочитывать начатое :(|"[ -9.137869   -7.58697    -8.234231  ... -10.2555065 -10.27088
 -10.263635 ]"|1
59|Рассказ для детей. Очень добрый и спокойный.|[-8.314551  -7.5052524 -8.674913  ... -9.605251  -9.619576  -9.612853 ]|1
60|Богатый внутренний мир писателя, его необыкновенное владение словом, умение мастерски строить сложнейшие предложения, таящие в себе глубокий смысл, отличает Марселя Пруста от других писателей. Думаю, этот писатель будет более близок зрелым умам, людям, склонным к глубоким раздумьям и философствованию. Нельзя назвать его произведения легким чтивом. Для людей легких и праздных произведения Марселя Пруста придутся не по душе. Отношу себя без стыда к оным)|[-8.631412 -7.916646 -9.837423 ... -9.45996  -9.464053 -9.462128]|1
61|Тошнило на всем протяжении чтения.|[-8.318614  -8.648057  -6.0566955 ... -7.5371084 -7.552146  -7.5449758]|1
62|Роман мне не очень понравился. Скучный, пустой. Часто откладывала книгу, но потом заставляла себя дочитать до конца, надеясь, что он затянет, что далеше будет интересно. Оказалось, что это была пустая трата времени.|[-11.019164 -10.159786 -11.439104 ... -12.157206 -12.180072 -12.169314]|1
63|дрянь книга|"[-10.591743   -8.575489   -7.0494623 ...  -7.8970904  -7.9107637
  -7.9042706]"|1
64|Такая скучища!|[-6.9415894 -6.651284  -5.597663  ... -5.9239817 -5.926381  -5.925193 ]|1
65|Нудятина|"[ -9.911426   -7.4218597  -8.013626  ... -10.287609  -10.317649
 -10.3035345]"|1
66|"Типичная фантастика. Ничего нового. В книге царит нестабильность. То есть автор то затягивает читателя в пучину происходящего, то, словно устав, ""сжевывает"" интересные события и детально описывает абсолютно пустые и малоинтересные моменты. В целом книга неплоха. Стоит прочитать хотя бы для понта ;)"|[-9.205039  -7.0979195 -7.532619  ... -9.461817  -9.4639225 -9.462955 ]|1
67|Эти книги - прекрасный шанс восполнить пропущенные или забытые знания в школе. В них также много и другой полезнейшей информации, заставляющей задуматься, копнуть глубже, обратиться к дополнительной литературе. Очень познавательная серия. Хотелось бы еще передачи посмотреть, по которым были выпущены книги.|[-8.991463  -8.183918  -6.3017726 ... -8.954497  -8.966628  -8.960916 ]|1
68|по-моему, в книге много минусов. главная интрига раскрывается уже на середине. да и на саму идею дома с дверями в разные миры можно было бы потратить побольше фантазии. единственный плюс: увлекательный язык и наблюдательность автора.|"[-11.716758  -11.162543  -11.2058935 ... -12.861173  -12.888984
 -12.8759   ]"|1
69|Бред, который написал неизвестно кто, а не кастанеда. И написал плохо. Я выбросил в помойку.|"[-10.6635475  -8.45127    -8.288372  ...  -9.732001   -9.742127
  -9.737357 ]"|1
70|книга абсолютно соответствует интеллектуальному уровню Макаревича|[ -7.320277 -11.053258  -8.17828  ...  -8.497227  -8.513162  -8.505682]|1
71|Согласна с Laska, после ПиН воротит от Достоевщины. А как снотворное книга в общем-то ничего.|"[ -9.18842    -6.1549892  -8.178727  ... -10.456616  -10.464247
 -10.460698 ]"|1
72|Отвратительная книга.|[-9.342712 -7.427121 -7.852464 ... -8.985875 -8.997594 -8.992067]|1
73|Ужжжасно. Нудно, скучно, серо. Типичный избитый сюжет современной Росии. Ничего интересного. Я зря потратила деньги и время на этот опус Робски.|[ -9.040144  -7.317135  -8.794237 ... -10.457969 -10.467613 -10.463083]|1
74|"Совершенно фашистское произведение, унижающее не только женщин, но и мужчин, которые хоть на секунду с ним согласятся. Достаточно одной фразы (цитирую по памяти): ""Цивилизацию создали не женщины, не негры и не инвалиды"". За такое в Европе уже изъяли бы тираж и подали в суд. Крайнее варварство и ограниченность. Довольно лишь взглянуть на обложку и на фотографию автора на задней обложке, чтобы всё понять."|[-9.18029   -7.9854894 -8.819026  ... -9.348277  -9.354015  -9.351304 ]|1
75|Книга доверху напичкана трюизмами. Читать скучно.|[-9.714536 -8.168314 -8.054362 ... -8.808405 -8.82278  -8.815989]|1
76|Полная х...Извините конечно!!Это просто читать нельзя!!!|[ -9.515829  -8.118538  -6.694973 ... -10.402767 -10.419187 -10.411493]|1
77|"Отвратительная книга, в которой особенно ""умиляет"" ""доброта"" одного из героев, который не хочет убивать ведьм и поэтому заставляет теток-ведьм гнить заживо в ямах без еды и воды, пока сами не помрут... Интересно, ему самому бы понравилось?"|[-10.267462  -9.834321  -9.318683 ... -11.67542  -11.693866 -11.685207]|1
78|"Скучно, тупо и мучительно больно за потерянное время! А аннотация в начале, превозносящая книгу и сравнивающая с действительно хорошими, причем утверждается, что эта книга лучше... Блин, ни стыда, ни совести у графоманов! В топку! А читать по теме Макса Далина! И Громыко - про ведьму!Энн Райс, на худой конец... Из ""юмора"" - Алекса Коша, Белянина ""Вкус вампира"" или про жену -ведьму... Или ""Здесь Вам не причинят никакого вреда"" автора не помню сейчас...."|[-7.8915424 -8.628604  -8.299389  ... -9.8828125 -9.890179  -9.886743 ]|1
79|Это когда нибудь закончится? эта писанина. Первые 10 книг читала с удовольствием, но сейчас невозможно. Одно и тоже.|[ -9.423844  -9.708865 -10.357687 ... -11.274395 -11.29201  -11.283737]|1
80|Zombie, +1 , книга посредственная. Жалею что потратил на неё целый воскресный вечер. Книга ни о чем.|[ -9.4406    -8.75183   -8.024797 ... -10.003031 -10.016623 -10.010188]|1
81|Гадость, скучно, не задевает, фу. Не читать однозначно. Ни одной стоящей мысли, образа, скучный и бедный язык...|[-11.931162  -8.836539 -10.032908 ... -11.76485  -11.771076 -11.76817 ]|1
82|Робски нравится недалеким людям. Для них тоже кто-то должен писать. Все ИМХО.|[ -8.664458 -10.039864  -8.998902 ... -11.268461 -11.295692 -11.282895]|1
83|Только начала читать и уже глубоко возмущена необъективностью автора и абсолютно неправильной системой доказательств. Пока все встреченные мною аргументы автора выглядели примерно так: вот был у меня как-то тупой американский студент, и ещё один тупой студент был, да ещё один - значит все американские студенты тупые.|[ -9.99744   -8.181082 -10.135708 ... -10.804211 -10.81554  -10.810218]|1
84|Я только вот чего хочу спросить: она обкурилась что ли перед тем, как такое написаь??? Такого бреда я не ожидала. Не знаю, как до конца дочитала|[ -9.651764  -8.521032  -9.964783 ... -11.485075 -11.499093 -11.492527]|1
85|конец книжки какойто бредовый :(|[-8.2844   -6.558353 -5.748089 ... -9.002642 -9.019079 -9.011338]|1
86|Это детская литература?|[-8.56254   -7.830639  -4.905838  ... -7.886564  -7.8954444 -7.8912783]|1
87|Сам не знаю почему начал читать эту муть, мерзкая тупая книга.|"[ -7.6105075  -9.866123   -9.01028   ... -11.204398  -11.215925
 -11.210541 ]"|1
88|Ничего более ужасного я в жизни не читала. Жуткая тягомотина, приправленная сценами порнографического содержания.|[-9.602786  -7.2307615 -8.181794  ... -8.655072  -8.665843  -8.66077  ]|1
89|Хуже не придумаешь.Такое всё наивное, до безобразия! Читала и плевалась.|[-8.285026 -9.62711  -8.016387 ... -9.884638 -9.891254 -9.888128]|1
90|я прочитала на одном дыхании, пытаясь выудить главную идею, но так ее и не нашла.|[-11.579346 -10.842644  -9.593577 ... -11.65174  -11.672814 -11.662905]|1
91|"Попытка оживить ужасно нудную сюжетную линию исключительно за счёт внешнего антуража (статических декораций неумело перенесённых из ""крутого"" спорта (ну очень крутого), напыщенных аксесуаров ""красивой"" жизни и прочей дребедени),к оторая терпит полное и однозначное фиаско в силу абсолютного отсутствия наималейшей ИДЕИ. О. Дивов как всегда, в своём амплуа -- слепой поводырь. Слепой морально, идейно и ментально."|[-9.667456  -8.47997   -6.4184074 ... -9.514555  -9.520821  -9.517896 ]|1
92|"Может быть и верно , что ""в стране слепых и одноглазый король""* , но всё таки О.Дивов -- слепой поводырь. *Испанская пословица."|[-10.066314 -10.151825  -8.858326 ... -10.812595 -10.82458  -10.818942]|1
93|Ну вот вам и каламбурчик , господа : И автор ноль (с очень маленькой буквы) , Ну и книжонка соответственно г... , то-есть полный ноль хочу сказать.|"[ -8.424024   -6.5131164  -8.281567  ... -10.284166  -10.288256
 -10.286369 ]"|1
94|"Такой бред намутить надо ещё умудриться! Были места многообещающие, потом автор начала запутываться сама в совём желании переплюнуть и закрутить чтоб всем аж плохо стало. Плохо стало. Однозначно. А потом уже просто смешно было наблюдать за всем этим. Концовка вообще ""пришей кобыле хвост"", но к тому моменту я уже ничему не удивлялась... Вобщем, мой личный, субъективный вердикт - ерунда полная."|"[ -9.160312   -8.227154   -8.794357  ... -10.8894415 -10.897372
 -10.8936615]"|1
95|Сгусток ненависти. Не читайте, правда, не стоит.|[-7.7814813 -7.068542  -6.902865  ... -8.229369  -8.25197   -8.241263 ]|1
96|Хуже и быть не может. Отвратительно. Кроме Насти меня ни на что больше не хватило. Было противно, хотела бросить, но один рассказ все же решила дочитать. Честно, не понимаю, кому подобное понравится. И как такое можно писать? Автор мне противен.|[ -9.697062  -9.756996  -9.649301 ... -11.188782 -11.202034 -11.195824]|1
97|Отвратительная байда. По сути - вялая и скучная порнушка, замаскированная под плохую фантастику.|"[-10.122292   -7.0102816  -6.2446265 ...  -9.35631    -9.363903
  -9.360344 ]"|1
98|"Это называется: написать что-нибудь скандальненькое, чтобы срубить бабла. Причем никаких сдерживающих рамок по части того, что именно написать, у автора явно нет. Ценности текст не представляет... мягко говоря. Никакой ответственности перед читателем за точность изложения фактов и корректность аргументов автор на себя не берет, передергивает все, что угодно и с удовольствием. Поэтому упомянутые в одном из предыдущих отзывов ""занимательные факты"" вполне могут оказаться не достовернее застольных баек (а скорей всего, так и есть)."|[ -8.613779  -9.392882  -8.905114 ... -10.20354  -10.218787 -10.211616]|1
99|Отстой|[-8.244398  -7.226517  -6.12052   ... -7.6332355 -7.646008  -7.639925 ]|1
100|Если вам нравится, когда в книге нет ни одного положительного героя, то читайте!|"[-12.401739  -11.935865   -9.7485695 ... -12.371767  -12.401521
 -12.387539 ]"|1
101|"По Невскому медленно двигался вперемешку поток машин и пешеходов. Все дружно орали и размахивали синими флагами. Как оказалось, местечковая футбольная команда Зенит"" у кого-то что-то выиграла, и по этому поводу весь город гудел и бесновался. Хотя впоследствии выяснилось, что гудят и беснуются они даже в случае проигрыша. Что, впрочем, неудивительно, ибо на весь Питер футбольная команда только одна, и каждая её игра для аборигенов - событие. Не понравился мне Питер. Сравнить его с Москвой, да хотя бы даже сравнить на одну доску - откровенный идиотизм. Провинциальных городов в России много, и все они одинаковые. А Москва единственная и неповторимая, к тому же - настоящая столица."" Посмеялась от души! Хуже книги я еще не читала."|[-8.726966 -9.405305 -8.098001 ... -9.421324 -9.427372 -9.424552]|1
102|Ни в коем случае не читайте, не тратьте время. Муть и дрянь.|[-12.615992  -9.76769  -10.805099 ... -11.08293  -11.100435 -11.092176]|1
103|Соглашусь с предыдущим комментарием. Литература для стандартных домохозяек... Которая действительно притупляет интеллект и делает уязвимее для отрицательного влияния СМИ, что разумеется выгодно государству...|[-9.626098 -9.476149 -9.026944 ... -9.189079 -9.20253  -9.196217]|1
104|В литературном отношении - ниже плинтуса, но почитать имеет смысл, чтобы понять, как устроены мелкие пакостники.|[ -9.789951  -6.915906  -8.638114 ... -10.093754 -10.103218 -10.098758]|1
105|Писал школьник для школьников.. Полное отсутсвие чувства слова, обычная литературная фигня, которой по сложившейся традиции зачитывается полмира, слабо понимающие и литературу, и искусство в целом.. Впрочем, может им большего и не нужно.. Что касается меня, то отношение к Коэльо однозначное - в печь!|[-7.482414 -6.880505 -7.162798 ... -8.815809 -8.820192 -8.818158]|1
106|Ужасная чушь, но некоторым нравится: либо людям с проблемамии в части логического мышления, либо сдвинутым на русофилии (уж если русский - то с палеолита, а еще лучше - из юры!), либо коллекционерам глупостей (вроде меня). Вначале профессор Чудинов был довольно тихим сумасшедшим, но теперь заматерел, научился заколачивать деньги, и стал гнать откровенную чернуху. Главное, чтобы патриотично, и чтобы заговор против русской истории вообще, и отдельных передовых ученых, в частности. И в последнее время стал довольно агрессивным. И писучий, гад. Даже с моей страстью к чудакам всего прочитать внимательно не могу - но и отличий немного.|"[ -7.738391   -8.354489   -8.203419  ... -10.532589  -10.5388775
 -10.535942 ]"|1
107|Ой, здесь интересно, здесь русские в палеолите... Ужасная чушь, но некоторым нравится: либо людям с проблемамии в части логического мышления, либо сдвинутым на русофилии (уж если русский - то с палеолита, а еще лучше - из юры!), либо коллекционерам глупостей (вроде меня). Вначале профессор Чудинов был довольно тихим сумасшедшим, но теперь заматерел, научился заколачивать деньги, и стал гнать откровенную чернуху. Главное, чтобы патриотично, и чтобы заговор против русской истории вообще, и отдельных передовых ученых, в частности. И в последнее время стал довольно агрессивным. И писучий, гад. Даже с моей страстью к чудакам всего прочитать внимательно не могу - но и отличий немного.|[ -8.205115  -8.532015  -8.564531 ... -10.807911 -10.816078 -10.812253]|1
108|Это вообще полный бред, тем более забавный, что объектом выбран первый классик. Господи, что он только не написал, оказывается, и с какими грамматическими ошибками... Чудинов рулит... но оцтой канешна.|"[ -7.8415623  -7.2791357  -7.707236  ... -10.002042  -10.009352
 -10.005921 ]"|1
109|Редкостная дрянь. Прочитала от безвыходности в поезде. Лучше не тратить время.|[-10.251528 -10.574264  -8.274183 ... -10.291169 -10.30241  -10.297103]|1
110|Ни о чём.|[-11.33584   -8.763857  -7.638743 ... -10.249995 -10.266368 -10.258637]|1
111|"Тааакой бред!!! На мой взгляд, книга написана ради одной-единственной мысли: ""Меня ПРОНЗИЛА мысль, что единственный во всем мире, кому придется прожить мою жизнь, это не кто иной, как я сам."" Это поразииительно глубокая, а главное - НОВАЯ мысль!!!!!! Наверное, очень сложно до этого дойти самому,без помощи Лу. Ну просто смешно, товарисчи!!!"|[-7.983287  -7.0985045 -7.116679  ... -9.105597  -9.115631  -9.11091  ]|1
